4	1	17
8	1	49
9	1	25
11	1	1
12	1	5
15	1	1
8	2	3
14	2	1
16	2	3
4	3	5
5	3	5
11	3	5
12	3	1
13	3	2
15	3	2
3	4	15
7	4	11
11	4	3
13	4	1
3	5	8
7	5	1
16	5	1
8	6	1
12	6	5
14	6	4
3	7	2
4	7	8
5	7	2
13	7	3
16	7	1
1	8	3
2	8	1
5	8	1
6	8	2
9	8	8
10	8	4
11	8	4
12	8	9
13	8	3
14	8	6
16	8	1
1	9	4
3	9	2
4	9	1
6	9	2
8	9	41
10	9	6
11	9	4
12	9	7
13	9	24
14	9	23
15	9	9
16	9	1
3	10	1
5	10	2
6	10	1
8	10	3
9	10	5
11	10	2
12	10	4
15	10	2
16	10	8
3	11	9
4	11	4
8	11	2
9	11	1
12	11	1
13	11	4
14	11	4
15	11	21
16	11	1
3	12	3
6	12	3
8	12	1
9	12	9
10	12	4
11	12	8
13	12	5
14	12	13
15	12	3
3	13	1
4	13	3
6	13	1
8	13	6
9	13	2
11	13	5
14	13	2
15	13	4
16	13	5
4	14	1
6	14	3
8	14	9
9	14	21
10	14	1
11	14	11
12	14	10
13	14	25
15	14	5
16	14	2
3	15	4
9	15	2
10	15	2
11	15	16
12	15	1
13	15	2
16	15	1
3	16	2
5	16	11
10	16	6
13	16	1
14	16	1
